item,itemLabel,position,positionLabel,startDate,endDate
,Джуссоев Константин Хасанович,,Председатель Правительства,2022-06-20,
,Тадтаев Дзамболат Мервадикович,,Заместитель Председателя Правительства — Министр экономического развития,2022-06-21,
,Гаглоев Олег Феликсович,,Министерство юстиции,2022-06-09,
,Газзаев Валерий Таймуразович,,Министерство внутренних дел,2022-06-09,
,Джиоев Ахсар Муратович,,Министерство иностранных дел,2022-08-15,
,Джиоева Аряна Константиновна,,Министр образования и науки,2022-09-07,
,Дзагоев Эдуард Николаевич,,"Министр строительства, архитектуры и жилищно-коммунального хозяйства",2022-06-23,
,Дзагоева Радмила Филиповна,,Министр культуры,2022-06-21,
,Маргиев Алан Таймуразович,,Министерство сельского хозяйства,2022-06-28,
,Павлов Марат Григорьевич,,Министр обороны,2022-08-23,
,Тибилова Фатима Анзоровна,,Министерство финансов,2021-09,
,Чочиев Азамат Алимбегович,,"Министерство по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",2019-08-22,
,Чочиева Алла Руслановна,,Министерство здравоохранения и социального развития,2022-08,
