position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q2327278,President of South Ossetia,Q23427,South Ossetia,Q23427,South Ossetia,1996-11-27,,,,,,,,,
Q2332585,Prime Minister of South Ossetia,Q23427,South Ossetia,Q23427,South Ossetia,1991-11-28,,,,,,Q113502578,Deputy Prime Minister of South Ossetia,,
Q6597970,Speaker of the Parliament of South Ossetia,,,Q23427,South Ossetia,,,,,,,,,,
Q19901425,Minister of Foreign Affairs,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q62060547,member of the Parliament of South Ossetia,,,Q23427,South Ossetia,,,,,,,,,,
Q113502553,Minister of Defence,,,Q23427,South Ossetia,,,,,,,,,,
Q113502578,Deputy Prime Minister of South Ossetia,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q113502599,ambassador of South Ossetia to the Russian Federation,,,,,,,,,,,,,,
Q114351263,Minister of Press of South Ossetia,,,Q23427,South Ossetia,,,,,,,,,,
Q114351268,Minister of Economic Development,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q114351269,Minister of Justice,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q114351271,Minister of Internal Affairs,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q114351272,Minister of Education and Science,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q114351273,Minister of Construction,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q114351276,Minister of Culture,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q114351277,Minister of Agriculture,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q114351278,Minister of Finance,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q114351280,"Minister of Civil Defence, Emergencies and Disaster Management",Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
Q114351282,Minister of Health,Q23427,South Ossetia,Q23427,South Ossetia,,,,,,,,,,
