position,title
Q2327278,President
Q2332585,Prime Minister
Q113502578,Deputy Prime Minister
Q114351277,Minister of Agriculture
Q114351280,"Minister of Civil Defence, Emergencies and Disaster Management"
Q114351273,Minister of Construction
Q114351276,Minister of Culture
Q113502553,Minister of Defence
Q114351272,Minister of Education
Q114351268,Minister of Economic Development
Q114351278,Minister of Finance
Q19901425,Minister of Foreign Affairs
Q114351282,Minister of Health
Q114351271,Minister of Internal Affairs
Q114351269,Minister of Justice
Q114351263,Minister of Press
Q6597970,Speaker of the Parliament
